Arithmetic,asap7,nangate45,sky130hd,sky130hs,gf180
ieee754SP_Non_Restoring_baseline,1.18e-15,5.17e-14,2.12e-14,3.55e-14,8.08e-10
ieee754SP_Non_Restoring_serial_adder_1,3.82e-16,N/A,4.47e-15,7.55e-15,4.16e-10
ieee754SP_Non_Restoring_serial_adder_2,4.54e-16,N/A,4.32e-15,7.66e-15,1.96e-10
ieee754SP_Non_Restoring_serial_adder_3,4.67e-16,N/A,5.64e-15,1.49e-14,1.53e-10
ieee754SP_Non_Restoring_serial_adder_4,4.75e-16,2.33e-14,7.76e-15,1.00e-14,1.76e-10
ieee754SP_Non_Restoring_serial_adder_5,4.70e-16,2.32e-14,7.65e-15,1.58e-14,3.64e-10
ieee754SP_Non_Restoring_serial_adder_6,4.72e-16,N/A,7.54e-15,1.58e-14,4.21e-10
ieee754SP_Non_Restoring_serial_adder_7,4.84e-16,2.31e-14,7.85e-15,1.55e-14,4.20e-10
ieee754SP_Non_Restoring_serial_adder_8,4.84e-16,N/A,7.75e-15,1.56e-14,2.78e-10
ieee754SP_Non_Restoring_serial_adder_9,4.75e-16,N/A,7.66e-15,1.53e-14,4.05e-10
ieee754SP_Non_Restoring_serial_adder_10,4.74e-16,N/A,7.68e-15,1.53e-14,4.04e-10
ieee754SP_Non_Restoring_serial_adder_11,4.74e-16,N/A,7.80e-15,1.52e-14,3.60e-10
ieee754SP_Non_Restoring_serial_adder_12,4.75e-16,N/A,7.64e-15,1.53e-14,3.60e-10
ieee754SP_Non_Restoring_serial_adder_13,4.76e-16,2.28e-14,7.78e-15,1.51e-14,3.62e-10
ieee754SP_Non_Restoring_serial_adder_14,4.76e-16,2.29e-14,7.80e-15,1.51e-14,3.62e-10
ieee754SP_Non_Restoring_serial_adder_15,4.75e-16,2.29e-14,7.75e-15,1.51e-14,3.62e-10
ieee754SP_Non_Restoring_serial_adder_16,4.76e-16,2.30e-14,7.81e-15,1.50e-14,3.62e-10
ieee754SP_Non_Restoring_serial_adder_17,4.75e-16,2.29e-14,7.86e-15,1.51e-14,3.57e-10
ieee754SP_Non_Restoring_serial_adder_18,4.76e-16,2.29e-14,7.77e-15,1.50e-14,3.62e-10
ieee754SP_Non_Restoring_serial_adder_19,4.75e-16,2.29e-14,7.77e-15,1.50e-14,3.62e-10
ieee754SP_Non_Restoring_serial_adder_20,4.76e-16,2.29e-14,7.79e-15,1.50e-14,3.62e-10
